,date,state,city,newCases
0,2020-02-25,SP,TOTAL,1
2,2020-02-26,SP,TOTAL,0
4,2020-02-27,SP,TOTAL,0
6,2020-02-28,SP,TOTAL,1
8,2020-02-29,SP,TOTAL,0
10,2020-03-01,SP,TOTAL,0
12,2020-03-02,SP,TOTAL,0
14,2020-03-03,SP,TOTAL,0
16,2020-03-04,SP,TOTAL,1
19,2020-03-05,SP,TOTAL,3
24,2020-03-06,SP,TOTAL,4
30,2020-03-07,SP,TOTAL,3
38,2020-03-08,SP,TOTAL,3
46,2020-03-09,SP,TOTAL,0
55,2020-03-10,SP,TOTAL,3
64,2020-03-11,SP,TOTAL,11
78,2020-03-12,SP,TOTAL,16
93,2020-03-13,SP,TOTAL,10
110,2020-03-14,SP,TOTAL,9
127,2020-03-15,SP,TOTAL,71
145,2020-03-16,SP,TOTAL,16
164,2020-03-17,SP,TOTAL,12
185,2020-03-18,SP,TOTAL,77
208,2020-03-19,SP,TOTAL,45
235,2020-03-20,SP,TOTAL,110
263,2020-03-21,SP,TOTAL,63
291,2020-03-22,SP,TOTAL,172
319,2020-03-23,SP,TOTAL,114
347,2020-03-24,SP,TOTAL,65
375,2020-03-25,SP,TOTAL,52
403,2020-03-26,SP,TOTAL,191
431,2020-03-27,SP,TOTAL,170
459,2020-03-28,SP,TOTAL,183
487,2020-03-29,SP,TOTAL,45
515,2020-03-30,SP,TOTAL,66
543,2020-03-31,SP,TOTAL,822
571,2020-04-01,SP,TOTAL,642
599,2020-04-02,SP,TOTAL,525
627,2020-04-03,SP,TOTAL,542
655,2020-04-04,SP,TOTAL,418
683,2020-04-05,SP,TOTAL,154
711,2020-04-06,SP,TOTAL,246
739,2020-04-07,SP,TOTAL,816
767,2020-04-08,SP,TOTAL,1026
795,2020-04-09,SP,TOTAL,772
823,2020-04-10,SP,TOTAL,736
851,2020-04-11,SP,TOTAL,203
879,2020-04-12,SP,TOTAL,336
907,2020-04-13,SP,TOTAL,140
935,2020-04-14,SP,TOTAL,476
963,2020-04-15,SP,TOTAL,1672
991,2020-04-16,SP,TOTAL,525
1019,2020-04-17,SP,TOTAL,1273
1047,2020-04-18,SP,TOTAL,1053
1075,2020-04-19,SP,TOTAL,373
1103,2020-04-20,SP,TOTAL,313
1131,2020-04-21,SP,TOTAL,805
1159,2020-04-22,SP,TOTAL,529
1187,2020-04-23,SP,TOTAL,826
1215,2020-04-24,SP,TOTAL,1086
1243,2020-04-25,SP,TOTAL,2178
1271,2020-04-26,SP,TOTAL,711
1299,2020-04-27,SP,TOTAL,981
1327,2020-04-28,SP,TOTAL,2345
1355,2020-04-29,SP,TOTAL,2117
1383,2020-04-30,SP,TOTAL,2540
1411,2020-05-01,SP,TOTAL,1676
1439,2020-05-02,SP,TOTAL,800
1467,2020-05-03,SP,TOTAL,598
1495,2020-05-04,SP,TOTAL,415
1523,2020-05-05,SP,TOTAL,1866
1551,2020-05-06,SP,TOTAL,3800
1579,2020-05-07,SP,TOTAL,2075
1607,2020-05-08,SP,TOTAL,1902
1635,2020-05-09,SP,TOTAL,2581
1663,2020-05-10,SP,TOTAL,1033
1691,2020-05-11,SP,TOTAL,687
1719,2020-05-12,SP,TOTAL,1588
1747,2020-05-13,SP,TOTAL,3378
1775,2020-05-14,SP,TOTAL,3189
1803,2020-05-15,SP,TOTAL,4092
1831,2020-05-16,SP,TOTAL,2805
1859,2020-05-17,SP,TOTAL,1162
1887,2020-05-18,SP,TOTAL,721
1915,2020-05-19,SP,TOTAL,2929
