,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,state
newCases,,,,,,,,,,,,,,,,,,,,,,3,0,1,3,4,0,6,4,2,1,1,0,9,8,0,1,2,1,0,2,2,0,8,4,8,2,5,13,9,2,14,20,7,21,13,19,19,13,7,24,21,22,16,37,50,83,66,105,75,84,126,71,163,158,112,13,130,104,46,45,82,130,237,248,335,286,240,524,293,341,280,470,349,241,231,147,107,139,214,342,263,241,458,145,329,289,345,204,239,108,129,232,336,325,323,276,118,158,271,212,282,340,269,145,88,107,462,333,64,375,135,66,253,AC
newCases,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,2,1,0,1,2,3,0,1,0,0,5,0,5,3,3,3,0,8,3,0,10,14,11,6,21,22,27,12,39,33,81,89,88,59,83,134,180,88,181,146,69,97,68,97,164,166,139,86,85,237,181,211,240,381,223,215,288,118,479,386,328,584,468,376,522,476,563,604,1065,549,722,848,690,842,879,889,633,853,983,1024,831,856,1312,763,670,1235,766,1273,792,959,738,853,982,835,799,657,791,805,845,857,509,1076,851,680,634,955,AL
newCases,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,1,4,4,15,6,15,7,13,14,30,29,11,24,25,29,31,51,106,115,104,168,95,82,69,156,69,209,70,165,90,88,147,116,110,209,409,306,441,198,95,409,464,453,469,339,621,630,796,1134,856,628,1198,674,320,1249,1648,1365,1211,1285,651,585,1219,1572,1663,1671,1764,1065,415,1667,1559,2638,2763,1651,818,396,1421,1152,2126,1193,1119,484,548,1417,1615,1140,1122,915,480,271,1241,1529,1189,947,1219,508,321,1342,1691,503,953,802,627,244,930,1461,1246,1007,1408,69,413,2740,AM
newCases,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,1,1,4,0,2,1,1,7,10,3,7,12,56,21,38,27,44,7,64,34,20,13,25,16,19,31,26,63,93,41,132,21,76,98,64,41,66,295,251,198,115,153,123,171,120,58,239,95,423,202,204,118,71,287,239,639,467,436,262,231,383,652,533,317,844,289,288,621,596,444,776,446,272,249,477,852,543,517,639,190,301,1211,594,769,535,1652,266,3022,1575,482,496,247,239,84,268,239,435,226,421,235,74,121,290,AP
newCases,,,,,,,,,,,1,1,0,0,0,1,0,4,0,2,1,4,13,4,3,7,14,8,16,12,17,15,4,29,20,41,29,21,23,46,65,36,25,53,53,48,24,34,49,53,108,83,97,136,49,128,127,141,200,134,137,132,108,208,112,191,273,175,251,168,306,261,227,291,356,384,249,397,344,407,1174,186,128,438,2132,184,744,616,443,899,305,362,503,893,954,709,766,506,2532,1021,1012,2956,977,854,465,1766,2204,1206,774,1123,614,1219,1586,1720,651,2345,1382,975,807,1998,2847,2360,2130,8822,3251,972,3840,3178,2864,2965,3171,1563,1231,3675,BA
newCases,,,,,,,,,,,,,,,,,,,,,9,1,9,5,44,16,41,39,21,26,26,45,40,37,23,19,44,120,93,87,218,83,143,205,51,113,110,79,189,136,220,120,335,315,246,179,229,400,586,419,546,593,523,202,426,450,139,309,70,2661,430,840,1578,1246,745,813,907,813,744,1921,1982,736,460,2108,1749,2448,853,3160,549,473,590,836,254,546,574,9427,667,2015,4179,1373,3739,2381,1399,696,1947,2805,2924,2745,1092,645,404,3020,2316,3437,2526,2309,1956,469,1842,3347,1523,3540,2152,1794,529,632,2258,3555,2481,1792,3153,522,1408,2748,CE
newCases,,,,,,,,,,,,1,0,0,0,1,0,0,6,6,5,3,12,8,45,21,9,21,23,34,6,40,19,38,14,21,37,30,19,37,12,17,18,6,18,29,36,26,23,10,37,39,29,40,64,15,38,46,9,44,8,105,64,41,83,110,123,59,115,73,44,209,212,184,134,106,117,180,213,224,371,353,228,251,234,418,271,406,303,387,292,280,551,539,422,752,306,730,746,764,903,1285,1642,773,325,1142,1343,1074,889,563,912,813,1696,1760,1381,2381,1336,989,921,1220,1886,1617,2455,1440,2139,2166,2147,1458,1605,1715,1764,2094,2529,2311,DF
newCases,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,8,4,3,10,0,7,7,0,8,6,7,11,13,12,23,19,14,13,28,15,18,46,27,49,34,47,33,94,177,201,17,147,96,17,101,38,102,212,46,108,125,220,374,150,225,191,104,143,189,174,274,254,170,187,220,268,314,412,385,397,149,413,536,802,383,642,398,89,358,524,595,719,700,534,253,595,866,970,773,1215,841,669,1040,1305,1427,1037,1074,509,458,1183,1378,1477,1265,1460,1006,628,1281,680,1656,1923,1246,0,2031,1414,1796,1928,1421,1447,1135,569,1154,2156,ES
newCases,,,,,,,,,,,,,,,,,3,0,1,0,5,1,2,3,3,2,1,2,6,6,4,10,7,2,3,4,8,0,15,15,12,4,14,26,20,12,18,20,4,51,20,14,17,43,15,10,18,17,15,33,20,67,43,45,44,76,27,17,25,11,61,102,3,26,16,24,7,15,110,235,145,47,40,89,99,169,106,189,91,53,27,191,200,195,420,88,117,291,469,215,401,503,165,87,445,634,444,394,152,15,19,2481,1395,940,889,875,910,454,1181,929,1266,1097,1064,424,300,1214,1531,1235,173,1184,1024,0,1661,1814,GO
newCases,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,6,0,0,2,3,2,6,9,21,19,10,7,8,37,39,58,43,21,51,54,47,33,152,65,102,243,165,115,90,194,153,194,154,118,187,118,276,386,316,299,235,187,303,498,361,520,856,834,545,382,586,689,938,853,900,746,960,916,944,1154,1555,2424,1595,1492,1867,1834,2503,2138,2019,658,1328,1549,2455,2684,2157,2123,944,834,2698,1439,2172,1925,1254,991,742,2119,2024,1356,2409,1173,386,630,1332,1293,1611,1773,1417,397,457,1482,2805,2769,2189,843,657,537,1837,MA
