,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,state,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06
newDeaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,3,2,0,1,1,0,0,1,2,0,3,4,0,0,0,0,1,1,0,1,0,1,0,0,2,1,1,1,0,1,1,0,2,2,3,2,2,2,3,4,1,3,7,6,6,6,6,5,9,10,10,9,9,12,8,8,3,4,14,5,6,6,6,12,10,20,18,8,11,11,15,29,17,14,17,9,18,26,26,20,14,23,5,11,11,28,33,11,12,28,28,27,41,DF,,,,,,,,,,,
newDeaths,0,0,0,0,0,0,0,0,0,0,1,3,1,4,6,7,8,10,8,10,10,16,14,15,23,28,24,31,41,15,29,67,57,68,44,20,28,20,87,83,75,75,63,24,22,56,41,211,167,155,33,125,224,198,128,136,75,41,27,197,194,161,210,192,101,34,206,169,197,186,187,94,41,324,216,195,215,272,118,57,203,289,268,295,257,83,52,327,282,285,281,216,87,43,334,340,283,223,213,113,73,365,389,325,386,262,94,46,434,284,407,207,297,75,60,365,267,321,343,302,82,56,341,SP,0,0,0,0,0,0,0,0,0,0,0
newDeaths,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2,3,5,3,1,1,2,5,2,3,2,2,5,6,6,5,6,8,8,9,9,10,6,12,12,12,14,13,10,12,11,11,14,16,11,18,21,15,21,17,14,17,21,18,19,18,21,24,25,26,25,19,21,18,20,21,20,22,21,24,25,18,20,17,18,18,19,17,18,20,17,18,19,20,20,20,19,22,21,19,19,20,AL,,,,,,,,,,,
newDeaths,0,0,0,0,0,0,0,0,0,0,1,3,1,4,6,7,8,10,8,10,10,16,14,15,23,28,24,31,41,15,29,67,57,68,44,20,28,20,87,83,75,75,63,24,22,56,41,211,167,155,33,125,224,198,128,136,75,41,27,197,194,161,210,192,101,34,206,169,197,186,187,94,41,324,216,195,215,272,118,57,203,289,268,295,257,83,52,327,282,285,281,216,87,43,334,340,283,223,213,113,73,365,389,325,386,262,94,46,434,284,407,207,297,75,60,365,267,321,343,302,82,56,341,SP,0,0,0,0,0,0,0,0,0,0,0
newDeaths,0,0,0,0,0,0,0,0,0,0,1,3,3,4,7,7,9,13,12,18,16,22,22,29,36,42,61,60,80,52,73,121,135,133,114,68,96,120,200,203,202,211,202,116,107,174,169,408,373,352,227,305,488,443,443,459,371,267,304,591,625,676,754,670,478,485,843,778,789,913,715,504,723,1149,985,1069,1031,1046,652,733,1054,1058,1193,1137,864,471,741,1365,1194,1508,1078,801,476,863,1193,1238,1268,843,857,634,764,1332,1185,1239,1172,982,609,736,1406,1104,1180,993,1031,594,722,1317,1086,1259,1213,1060,558,677,1262,TOTAL,0,0,0,0,0,0,0,0,0,0,0
newDeaths,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,2,1,1,3,4,1,5,5,13,6,11,6,7,18,17,16,25,8,15,18,36,41,36,40,46,15,20,39,29,40,40,45,30,32,61,56,60,67,50,48,46,58,82,189,109,150,61,56,158,122,197,191,176,101,137,227,158,175,245,248,88,112,256,244,251,223,198,67,118,224,324,317,146,166,68,74,147,210,225,54,175,80,56,239,171,274,183,229,51,58,220,142,155,137,202,30,29,232,118,134,168,124,43,31,183,RJ,,,,,,,,,,0,0
newDeaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1,2,1,4,4,1,0,2,0,1,4,2,6,2,4,5,2,1,5,9,5,5,2,9,10,7,6,11,6,5,13,5,14,5,18,13,6,12,11,11,26,19,5,9,17,14,36,14,23,14,47,17,18,36,39,39,29,29,34,35,26,28,29,27,33,31,27,38,38,26,30,36,40,36,41,41,42,45,41,50,50,50,60,41,55,51,52,53,49,45,54,49,57,61,48,BA,,,,,,,,,,,0
newDeaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,1,1,1,5,3,1,3,7,0,2,4,0,0,3,6,4,5,5,6,14,7,9,8,3,11,8,10,13,11,8,7,9,15,16,21,16,11,11,14,17,23,21,17,34,20,30,18,22,24,27,22,23,21,24,36,34,39,43,26,26,39,33,33,29,33,29,27,32,45,47,44,44,30,31,59,38,38,27,17,0,61,53,27,45,35,30,23,23,34,42,ES,,,,,,,,,,,0
newDeaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,3,2,0,1,1,0,0,1,2,0,3,4,0,0,0,0,1,1,0,1,0,1,0,0,2,1,1,1,0,1,1,0,2,2,3,2,2,2,3,4,1,3,7,6,6,6,6,5,9,10,10,9,9,12,8,8,3,4,14,5,6,6,6,12,10,20,18,8,11,11,15,29,17,14,17,9,18,26,26,20,14,23,5,11,11,28,33,11,12,28,28,27,41,DF,,,,,,,,,,,
newDeaths,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2,3,5,3,1,1,2,5,2,3,2,2,5,6,6,5,6,8,8,9,9,10,6,12,12,12,14,13,10,12,11,11,14,16,11,18,21,15,21,17,14,17,21,18,19,18,21,24,25,26,25,19,21,18,20,21,20,22,21,24,25,18,20,17,18,18,19,17,18,20,17,18,19,20,20,20,19,22,21,19,19,20,AL,,,,,,,,,,,
